,surname,name,org,region,year
109,Попова,Алёна,Фонд Открытых проектов,Россия,2013
110,Прохоров,Анатолий,Анимационный проект «Смешарики»,Россия,2013
111,Сандомирский,Марк,Ассоциация специалистов по прикладным нейронаукам,Россия,2013
112,Сатаки,Катрина,NIC.LV,Латвия,2013
113,Солдатова,Галина,Фонд Развития Интернет,Россия,2013
114,Талло,Ивар,Академия электронного управления,Эстония,2013
115,Тодоров,Леонид,Координационный центр доменов .RU/.РФ,Россия,2013
116,Убальди,Барбара-Кьяра,ОЭСР,Италия,2013
117,Ульянский,Олег,Твиди,Россия,2013
118,Храмцов,Павел,ЗАО «РСИЦ» (RU- CENTER),Россия,2013
119,Школа,Дона,Министерство ИТ и Связи Молдовы,Молдова,2013
120,Якушев,Михаил,Совет Координационного центра национального домена сети Интернет,Россия,2013
121,Ямбург,Евгений,Школа Ямбурга,Россия,2013
122,Янь,Ли,Китайский институт современных международных отношений (CICIR),КНР,2013
123,Ярных,Андрей,Лаборатория Касперского,Россия,2013
124,Бакридж,Крис,RIPE NCC,Австралия,2014
125,Бокова,Людмила,Совет Федерации Федерального Собрания Российской Федерации,Россия,2014
126,Бэйлон,Кэролайн,Chatham House,Великобритания,2014
127,Валлиулин,Алмаз,ГУП «Центр информационных технологий Республики Татарстан»,Россия,2014
128,Волин,Алексей,Министерство связи и массовых коммуникаций РФ,Россия,2014
129,Воробьёв,Андрей,RU-CENTER,Россия,2014
130,Гайнутдинов,Дамир,Межрегиональная ассоциация правозащитных организаций «Агора»,Россия,2014
131,Гаттаров,Руслан,Заместитель Губернатора Челябинской области,Россия,2014
132,Грицай,Георгий,Министерство связи и массовых коммуникаций РФ,Россия,2014
133,Данелия,Ирина,Координационный центр национального домена сети Интернет,Россия,2014
134,Демидов,Олег,ПИР-Центр,Россия,2014
135,Засурский,Иван,Московский государственный университет имени М. В. Ломоносова,Россия,2014
136,Зинина,Ульяна,Майкрософт,Россия,2014
137,Зих,Пётр,Совет Европы,Россия,2014
138,Каргаполов,Юрий,Украинский сетевой информационный центр UANIC,Украина,2014
139,Касенова,Мадина,Дипломатическая Академия МИД России,Россия,2014
140,Колесников,Андрей,Координационный центр национального домена сети Интернет,Россия,2014
141,Колкман,Олаф,NLnet Labs,Нидерланды,2014
142,Левова,Ирина,Институт исследований интернета,Россия,2014
143,Лукацкий,Алексей,Cisco,Россия,2014
144,Марковски,Вени,ICANN,Болгария,2014
145,Медриш,Михаил,Председатель Совета Координационного центра национального домена сети Интернет,Россия,2014
146,Мейер,Роелоф,SIDN (.nl),Нидерланды,2014
147,Никерова,Марина,Технический центр Интернет,Россия,2014
148,Павлик,Аксель,RIPE NCC,Нидерланды,2014
149,Рассудов,Павел,Пиратская партия России,Россия,2014
150,Сачков,Илья,Group-IB,Россия,2014
151,Смирнов,Федор,Webnames.ru,Россия,2014
152,Соколов,Алексей,Яндекс,Россия,2014
153,Тодоров,Леонид,Координационный центр национального домена сети Интернет,Россия,2014
154,Трунг,Ли Нам,Vietnam Internet Network Information Center,Вьетнам,2014
155,Филип,Анджей,NIC.CZ,Чехия,2014
156,Храмцов,Павел,RU-CENTER,Россия,2014
157,Шепилов,Александр,Совет Федерации Федерального Собрания Российской Федерации,Россия,2014
158,Шлегель,Роберт,Государственная Дума РФ,Россия,2014
159,Якушев,Михаил,ICANN,Россия,2014
160,Ярных,Андрей,Лаборатория Касперского,Россия,2014
161,Анисимов,Михаил,Координационный центр национального домена сети Интернет,Россия,2015
162,Аркко,Яри,Internet Engineering Task Force (IETF),Финляндия,2015
163,Базлянков,Илья,Ассоциация CORE,Болгария,2015
164,Бокова,Людмила,Совет Федерации Федерального Собрания Российской Федерации,Россия,2015
165,Викси,Пол,Farsight Security,США,2015
166,Воробьёв,Андрей,Независимый эксперт,Россия,2015
167,Гаттаров,Руслан,Заместитель Губернатора Челябинской области,Россия,2015
168,Гусев,Павел,Учреждение Казахский центр сетевой информации (KazNIC),Казахстан,2015
169,Демидов,Олег,ПИР-Центр,Россия,2015
170,Деньгин,Вадим,Государственная Дума Федерального Собрания Российской Федерации,Россия,2015
171,Димитрийоски,Сашо,Академическая и исследовательская сеть Македонии (MARnet),Бывшая Югославская Республика Македония,2015
172,Донк,Фредерик,Internet Society (ISOC),Бельгия,2015
173,Исмаилов,Рашид,Министерство связи и массовых коммуникаций Российской Федерации,Россия,2015
174,Кадер,Михаил,Cisco,Россия,2015
175,Казарян,Карен,РАЭК,Россия,2015
176,Каргаполов,Юрий,Координационный центр УСИЦ,Украина,2015
177,Карклинс,Янис,Глобальный форум по управлению интернетом,Латвия,2015
178,Касенова,Мадина,Дипломатическая Академия МИД России,Россия,2015
179,Левин,Леонид,Государственная Дума Федерального Собрания Российской Федерации,Россия,2015
180,Ли,Сяодонг,CNNIC,Китай,2015
181,Мариничев,Дмитрий,RadiusGroup,Россия,2015
182,Масиел,Марилия,Центр информационных технологий и общества при Фонде им. Жетулиу  Варгаса (CTS/FGV),Бразилия,2015
183,Масилела,Мокгабуди Лаки,ZACR,ЮАР,2015
184,Массух,Илья,Фонд информационной демократии,Россия,2015
185,Носетти,Жюльен,Французский институт международных отношений,Франция,2015
186,Повалишев,Сергей,Hoster.by | cctld.by,Беларусь,2015
187,Ранджбар,Каве,RIPE NCC,Нидерланды,2015
188,Сачков,Илья,Group-IB,Россия,2015
189,Сингх,Парминдерджит,IT for Change,Индия,2015
190,Стоичевич,Душан,Serbian National Internet Domain Registry,Сербия,2015
191,Тодоров,Леонид,Член Оргкомитета Российского форума по управлению интернетом,Россия,2015
192,Хань,Люнь,CNNIC,Китай,2015
193,Хачатуров,Вартан,Министерство связи и массовых коммуникаций Российской Федерации,Россия,2015
194,Храмцов,Павел,Проект НЕТОСКОП,Россия,2015
195,Шепилов,Александр,Совет Федерации Федерального Собрания Российской Федерации,Россия,2015
196,Шлегель,Роберт,Государственная дума РФ,Россия,2015
197,Эчеберрия,Рауль,Global Engagement Internet Society,Уругвай,2015
198,Якушев,Михаил,ICANN,Россия,2015
199,Ярных,Андрей,Лаборатория Касперского,Россия,2015
200,Анисимов,Михаил,Технический центр Интернет,Россия,2016
201,Бакридж,Крис,RIPE NCC,Австралия,2016
